Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Längdskidåkning klassisk stil,2026-01-08 16:43:52,false,"Lund Längdskidåkning klassisk stil","11.67","860","01:38:09","113","134","2.1","85","248","7.1","17.1","91","91","0.00","0.0","6.7","516","48.5% vänster/51.5% höger","0.0","6,470","Nej","00:00:04.1","10","--","--","01:21:13","01:38:09","61","87"
Längdskidåkning klassisk stil,2026-01-07 16:06:33,false,"Lund Längdskidåkning klassisk stil","13.95","886","01:33:27","121","141","2.5","78","226","9.0","20.8","116","124","0.00","0.0","9.0","545","46.6% vänster/53.4% höger","0.0","5,486","Nej","00:16:30","5","--","--","01:27:15","01:33:27","61","87"
Längdskidåkning klassisk stil,2026-01-06 13:03:38,false,"Kristianstad Längdskidåkning klassisk stil","5.41","305","00:31:20","115","172","2.1","106","240","10.4","25.7","27","28","1.63","--","--","--","--","0.0","3,948","Nej","00:02:54.2","2","--","--","00:30:58","00:31:20","65","91"
Längdskidåkning klassisk stil,2026-01-06 11:33:00,false,"Kristianstad Längdskidåkning klassisk stil","10.70","901","01:01:38","143","180","4.5","105","155","10.4","25.2","56","57","1.66","--","--","--","--","0.0","7,612","Nej","00:04:39.5","3","--","--","00:59:41","01:01:38","79","91"
Längdskidåkning klassisk stil,2026-01-05 13:14:44,false,"Lund Längdskidåkning klassisk stil","13.16","977","01:38:17","119","146","2.4","82","248","8.0","19.5","106","113","0.00","0.0","9.6","537","53.3% vänster/46.7% höger","0.0","5,602","Nej","00:18:38","4","--","--","01:26:08","01:38:17","61","87"
Löpning,2026-01-02 12:10:03,false,"Staffanstorp Löpning","11.35","1,181","01:04:15","164","175","5.0","159","176","5:40","4:22","28","28","1.09","--","--","--","--","0.0","10,120","Nej","00:01:00","22","--","--","01:04:13","01:04:15","14","32"
Konditionspass,2025-12-30 10:00:13,false,"Kondition","0.00","460","01:04:42","99","131","1.4","119","245","--","--","--","--","0.00","--","--","--","--","0.0","3,820","Nej","01:04:42","1","--","--","00:00:00","01:04:42","--","--"
Längdskidåkning klassisk stil,2025-12-29 18:01:47,false,"Lund Längdskidåkning klassisk stil","24.11","1,102","01:51:00","124","173","3.4","108","239","13.0","26.2","140","137","2.02","--","--","--","--","0.0","12,168","Nej","00:19:15","5","--","--","01:44:17","01:51:00","28","105"
Längdskidåkning klassisk stil,2025-12-27 13:03:02,false,"Landskrona Längdskidåkning klassisk stil","18.89","399","01:35:43","117","129","1.0","64","247","11.8","18.4","46","47","0.00","0.0","12.7","644","45.0% vänster/55.0% höger","0.0","3,404","Nej","00:20:50","4","--","--","01:34:54","01:35:43","2","15"
Löpning,2025-12-26 13:15:10,false,"Landskrona Löpning","17.20","1,227","01:52:00","124","144","2.7","159","180","6:31","4:51","107","109","0.98","8.8","8.7","288","46.7% vänster/53.3% höger","0.0","14","Nej","00:01:13.8","18","--","--","01:49:52","01:59:55","--","69"
Cykling,2025-12-24 11:36:43,false,"Lund Cykling","5.38","161","00:16:11","109","118","1.5","--","--","19.9","29.8","10","26","--","--","--","--","--","0.0","--","Nej","00:01:28.7","2","--","--","00:15:38","00:16:11","14","37"
Konditionspass,2025-12-24 10:16:41,false,"Kondition","4.03","651","01:08:29","114","149","2.3","121","218","3.5","14.7","--","--","0.87","13.6","11.9","402","50.1% vänster/49.9% höger","0.0","4,416","Nej","01:08:29","1","--","--","00:38:41","01:08:29","--","--"
Cykling,2025-12-24 09:46:37,false,"Staffanstorp Cykling","5.44","232","00:20:44","116","127","2.0","--","--","15.7","27.4","26","9","--","--","--","--","--","0.0","--","Nej","00:02:50.3","2","--","--","00:18:35","00:20:44","14","37"
Löpning,2025-12-23 15:42:34,false,"Staffanstorp Löpning","11.42","821","01:02:37","139","156","3.6","159","176","5:29","4:17","26","25","1.13","8.2","9.3","256","48.0% vänster/52.0% höger","0.0","9,790","Nej","00:00:59.4","22","--","--","01:02:19","01:02:37","15","32"
Cykling,2025-12-23 13:05:07,false,"Lund Cykling","8.20","292","00:23:35","125","151","2.5","--","--","20.8","35.2","14","63","--","--","--","--","--","0.0","--","Nej","00:08:29.1","2","--","--","00:21:58","00:23:35","14","67"
Cykling,2025-12-23 07:42:47,false,"Staffanstorp Cykling","9.56","383","00:41:33","112","143","1.8","--","--","13.8","26.3","60","30","--","--","--","--","--","0.0","--","Nej","00:18:55","2","--","--","00:36:59","00:41:33","14","69"
Konditionspass,2025-12-22 17:32:00,false,"Kondition","0.00","997","02:27:20","106","149","1.8","117","245","--","--","--","--","0.00","--","--","--","--","0.0","7,222","Nej","02:27:20","1","--","--","00:00:00","02:27:20","--","--"
Cykling,2025-12-22 15:51:45,false,"Lund Cykling","8.24","302","00:23:39","126","139","2.6","--","--","20.9","34.1","8","57","--","--","--","--","--","0.0","--","Nej","00:08:51.2","2","--","--","00:22:03","00:27:44","14","67"
Cykling,2025-12-22 07:30:17,false,"Staffanstorp Cykling","8.34","319","00:32:05","115","126","1.9","--","--","15.6","29.2","55","9","--","--","--","--","--","0.0","--","Nej","00:14:25","2","--","--","00:30:43","00:32:05","14","70"
Cykling,2025-12-21 16:12:24,false,"Burlöv Cykling","3.99","255","00:28:08","113","131","2.0","--","--","8.5","25.5","20","9","--","--","--","--","--","0.0","--","Nej","00:28:08","1","--","--","00:15:59","00:28:08","8","25"
Konditionspass,2025-12-21 14:59:44,false,"Kondition","0.00","557","01:08:29","109","146","2.0","118","245","--","--","--","--","0.00","--","--","--","--","0.0","3,428","Nej","01:08:29","1","--","--","00:00:00","01:08:29","--","--"
Cykling,2025-12-21 14:44:43,false,"Staffanstorp Cykling","3.68","146","00:12:01","121","133","2.0","--","--","18.4","30.2","4","12","--","--","--","--","--","0.0","--","Nej","00:12:01","1","--","--","00:10:58","00:12:01","8","25"
Längdskidåkning klassisk stil,2025-12-20 12:15:46,false,"Staffanstorp Längdskidåkning klassisk stil","17.67","932","01:34:10","120","136","2.5","61","213","11.3","21.5","45","43","0.00","0.0","13.9","682","48.5% vänster/51.5% höger","0.0","3,144","Nej","00:13:59","4","--","--","01:29:27","01:34:10","11","34"
Löpning,2025-12-19 17:07:45,false,"Staffanstorp Löpning","11.40","822","01:04:20","138","155","3.9","158","173","5:38","4:28","23","22","1.10","8.2","9.2","259","47.4% vänster/52.6% höger","0.0","22","Nej","00:01:00","22","--","--","01:03:55","01:04:20","15","32"
Konditionspass,2025-12-19 06:55:06,false,"Kondition","0.00","580","01:13:32","106","152","2.0","116","245","--","--","--","--","0.00","--","--","--","--","0.0","3,068","Nej","01:13:32","1","--","--","00:00:00","01:13:32","--","--"
Konditionspass,2025-12-18 20:56:49,false,"Kondition","0.00","685","01:39:58","104","148","1.9","115","242","--","--","--","--","0.00","--","--","--","--","0.0","5,344","Nej","01:39:58","1","--","--","00:00:00","01:39:59","--","--"
Cykling,2025-12-18 18:07:03,false,"Lund Cykling","9.08","406","00:44:10","114","139","2.2","--","--","12.3","31.8","7","55","--","--","--","--","--","0.0","--","Nej","00:15:35","2","--","--","00:33:04","00:44:10","14","66"
Cykling,2025-12-18 07:34:09,false,"Staffanstorp Cykling","8.34","311","00:28:59","117","132","2.1","--","--","17.3","32.8","51","4","--","--","--","--","--","0.0","--","Nej","00:13:33","2","--","--","00:26:54","00:28:59","14","71"
Cykling,2025-12-17 07:34:36,false,"Staffanstorp Cykling","8.34","323","00:32:18","114","125","2.0","--","--","15.5","29.6","54","8","--","--","--","--","--","0.0","--","Nej","00:13:51","2","--","--","00:29:48","00:32:18","14","71"
Löpning,2025-12-16 17:31:08,false,"Lund Löpning","8.24","885","01:38:18","120","158","3.0","136","248","11:56","2:35","92","96","0.82","9.5","7.5","372","48.9% vänster/51.1% höger","0.0","20","Nej","00:04:23.1","9","--","--","01:07:13","01:38:18","52","74"
Längdskidåkning klassisk stil,2025-12-14 13:12:40,false,"Härjedalen Längdskidåkning klassisk stil","6.62","368","00:39:36","122","140","1.0","84","244","10.0","37.6","121","121","0.00","0.0","8.9","518","50.1% vänster/49.9% höger","0.0","2,106","Nej","00:08:25.9","2","--","--","00:32:21","00:39:36","671","794"
Längdskidåkning klassisk stil,2025-12-14 09:02:17,false,"Härjedalen Längdskidåkning klassisk stil","21.10","1,392","02:24:09","121","145","3.2","91","255","8.8","36.8","332","339","0.00","0.0","7.8","511","47.1% vänster/52.9% höger","0.0","7,698","Nej","00:04:40.0","5","--","--","01:55:27","02:24:09","671","927"
