Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Cykling,2025-08-08 07:39:08,false,"Staffanstorp Cykling","8.16","274","00:26:49","113","128","1.7","--","--","18.3","33.4","56","11","--","--","--","--","--","0.0","--","Nej","00:12:47","2","--","--","00:24:42","00:26:49","14","70"
Löpning,2025-08-07 19:39:16,false,"Intervaller 10 x 1000 m","11.45","884","01:02:42","142","155","3.9","159","178","5:29","4:13","23","24","1.13","7.9","9.0","255","46.5% vänster/53.5% höger","0.0","9,758","Nej","00:01:00","22","--","--","01:02:21","01:02:42","15","32"
Cykling,2025-08-07 17:34:37,false,"Lund Cykling","9.11","382","00:26:49","137","154","3.0","--","--","20.4","32.7","11","63","--","--","--","--","--","0.0","--","Nej","00:12:24","2","--","--","00:25:51","00:45:21","14","73"
Konditionspass,2025-08-07 16:09:14,false,"Kondition","0.00","645","01:18:50","115","156","1.6","120","235","--","--","--","--","0.00","--","--","--","--","0.0","3,556","Nej","01:18:50","1","--","--","00:00:00","01:18:50","71","71"
Cykling,2025-08-07 07:33:06,false,"Staffanstorp Cykling","8.21","267","00:25:22","114","142","1.8","--","--","19.4","33.3","52","6","--","--","--","--","--","0.0","--","Nej","00:11:56","2","--","--","00:24:45","00:25:22","14","70"
Längdskidåkning klassisk stil,2025-08-06 19:17:23,false,"Staffanstorp Längdskidåkning klassisk stil","15.16","657","01:12:59","117","137","1.8","61","250","12.5","19.5","44","42","0.00","0.0","12.4","545","44.0% vänster/56.0% höger","0.0","3,432","Nej","00:02:03.7","12","--","--","01:12:00","01:12:59","14","32"
Cykling,2025-08-06 17:38:47,false,"Lund Cykling","6.22","201","00:18:48","115","133","1.8","--","--","19.9","30.0","8","18","--","--","--","--","--","0.0","--","Nej","00:03:38.4","2","--","--","00:18:35","00:18:48","14","39"
Cykling,2025-08-06 07:36:08,false,"Staffanstorp Cykling","8.21","223","00:27:07","102","115","1.3","--","--","18.2","33.7","59","12","--","--","--","--","--","0.0","--","Nej","00:11:29","2","--","--","00:26:05","00:27:07","14","70"
Cykling,2025-08-05 19:17:23,false,"Lund Cykling","9.62","301","00:29:52","112","124","1.8","--","--","19.3","33.3","13","60","--","--","--","--","--","0.0","--","Nej","00:14:09","2","--","--","00:29:08","00:29:52","14","69"
Löpning,2025-08-05 17:18:00,false,"Lund Löpning","7.72","981","01:43:53","116","160","2.5","116","255","13:27","4:29","155","151","0.83","15.0","10.8","472","49.0% vänster/51.0% höger","0.0","9,400","Nej","00:07:53.3","8","--","--","01:14:43","01:43:53","52","74"
Cykling,2025-08-05 07:49:14,false,"Staffanstorp Cykling","8.59","278","00:28:26","111","125","1.6","--","--","18.1","33.4","55","6","--","--","--","--","--","0.0","--","Nej","00:12:32","2","--","--","00:26:24","00:28:26","14","71"
Längdskidåkning klassisk stil,2025-08-04 18:01:23,false,"Lund Längdskidåkning klassisk stil","22.47","995","01:51:37","120","150","2.1","64","255","12.1","24.4","64","64","0.00","0.0","12.8","509","44.6% vänster/55.4% höger","0.0","4,678","Nej","00:11:02","5","--","--","01:41:34","01:51:37","6","35"
Cykling,2025-08-04 07:25:11,false,"Staffanstorp Cykling","8.16","270","00:24:16","116","128","1.9","--","--","20.2","33.1","58","11","--","--","--","--","--","0.0","--","Nej","00:10:47","2","--","--","00:24:08","00:24:16","14","70"
Cykling,2025-08-02 13:04:13,false,"Staffanstorp Cykling","16.35","531","00:51:29","118","141","2.4","--","--","19.1","35.5","85","84","--","--","--","--","--","0.0","--","Nej","00:08:05.1","4","--","--","00:46:06","01:19:27","14","70"
Löpning,2025-08-01 20:30:21,false,"10 x 1000 m 1 min vila ","12.44","963","01:08:21","143","155","4.1","159","173","5:30","4:16","35","33","1.13","8.3","9.5","260","47.1% vänster/52.9% höger","0.0","40","Nej","00:00:31.3","23","--","--","01:08:18","01:08:21","13","33"
Konditionspass,2025-08-01 17:06:44,false,"Kondition","0.00","540","01:18:58","106","150","1.3","115","235","--","--","--","--","0.00","--","--","--","--","0.0","3,644","Nej","01:18:58","1","--","--","00:00:00","01:18:58","--","--"
Löpning,2025-07-31 11:18:06,false,"Lund Löpning","6.02","455","00:33:26","137","154","3.2","163","169","5:33","4:23","19","18","1.09","9.0","10.1","270","47.2% vänster/52.8% höger","0.0","5,392","Nej","00:00:09.4","7","--","--","00:33:25","00:33:26","66","90"
Längdskidåkning klassisk stil,2025-07-30 18:01:31,false,"Lund Längdskidåkning klassisk stil","16.94","872","01:55:19","110","163","2.4","104","187","8.8","26.1","152","151","1.41","--","--","--","--","0.0","4,906","Nej","00:11:56","4","--","--","01:25:41","01:55:19","29","72"
Cykling,2025-07-29 19:52:48,false,"Lund Cykling","9.37","238","00:25:38","109","121","1.6","--","--","21.9","34.5","9","55","--","--","--","--","--","0.0","--","Nej","00:12:01","2","--","--","00:25:32","00:25:38","14","69"
Löpning,2025-07-29 17:20:40,false,"Lund Löpning","7.50","872","01:39:44","114","152","2.4","130","248","13:17","2:01","72","73","0.73","11.6","8.5","413","48.7% vänster/51.3% höger","0.0","9,780","Nej","00:06:15.5","8","--","--","01:11:45","01:39:44","51","74"
Cykling,2025-07-29 07:40:18,false,"Staffanstorp Cykling","8.19","481","00:26:45","164","179","4.8","--","--","18.4","33.1","65","9","--","--","--","--","--","0.0","--","Nej","00:11:57","2","--","--","00:26:13","00:26:45","8","71"
Längdskidåkning klassisk stil,2025-07-28 18:03:54,false,"Lund Längdskidåkning klassisk stil","27.24","1,117","02:10:51","117","154","2.8","73","255","12.5","25.2","155","153","0.49","0.6","11.3","542","62.1% vänster/37.9% höger","0.0","5,360","Nej","00:09:28.1","6","--","--","01:55:12","02:10:51","26","105"
Cykling,2025-07-28 15:44:33,false,"Lund Cykling","7.96","216","00:20:22","114","125","1.9","--","--","23.4","38.2","4","50","--","--","--","--","--","0.0","--","Nej","00:07:37.1","2","--","--","00:20:04","00:20:22","14","66"
Cykling,2025-07-28 07:07:32,false,"Staffanstorp Cykling","8.18","229","00:25:14","108","127","1.5","--","--","19.5","33.1","55","9","--","--","--","--","--","0.0","--","Nej","00:11:29","2","--","--","00:24:57","00:25:14","14","71"
Cykling,2025-07-25 15:11:16,false,"Lund Cykling","8.06","159","00:21:49","184","230","1.6","--","--","22.2","34.7","5","53","--","--","--","--","--","0.0","--","Nej","00:08:29.9","2","--","--","00:21:38","00:21:49","14","68"
Löpning,2025-07-25 11:55:01,false,"Lund Löpning","6.02","487","00:32:32","144","156","3.8","165","172","5:24","4:48","24","21","1.10","8.3","9.3","257","46.7% vänster/53.3% höger","0.0","5,306","Nej","00:00:07.6","7","--","--","00:32:30","00:35:16","66","90"
Cykling,2025-07-25 07:47:11,false,"Staffanstorp Cykling","8.20","250","00:24:37","113","132","1.8","--","--","20.0","33.8","51","4","--","--","--","--","--","0.0","--","Nej","00:10:56","2","--","--","00:24:34","00:24:37","14","70"
Cykling,2025-07-24 17:34:14,false,"Lund Cykling","8.75","341","00:24:29","133","144","3.0","--","--","21.5","35.2","6","56","--","--","--","--","--","0.0","--","Nej","00:11:07","2","--","--","00:24:12","00:26:56","14","69"
Konditionspass,2025-07-24 17:03:35,false,"Kondition","0.00","241","00:27:37","106","139","1.5","119","235","--","--","--","--","0.00","--","--","--","--","0.0","1,192","Nej","00:27:37","1","--","--","00:00:00","00:27:37","65","65"
Cykling,2025-07-24 07:35:35,false,"Staffanstorp Cykling","8.20","398","00:26:32","143","160","3.5","--","--","18.6","32.9","52","5","--","--","--","--","--","0.0","--","Nej","00:12:16","2","--","--","00:26:15","00:26:32","14","70"
Längdskidåkning klassisk stil,2025-07-23 18:02:23,false,"Lund Längdskidåkning klassisk stil","20.93","402","01:54:01","125","152","1.0","80","255","11.0","34.9","210","206","0.00","0.0","10.0","547","48.2% vänster/51.8% höger","0.0","14","Nej","00:04:17.0","5","--","--","01:32:34","01:54:01","29","78"
Cykling,2025-07-22 19:14:32,false,"Lund Cykling","7.58","244","00:21:44","117","126","2.1","--","--","20.9","33.2","9","39","--","--","--","--","--","0.0","--","Nej","00:06:44.6","2","--","--","00:21:09","00:21:44","14","49"
Löpning,2025-07-22 17:10:29,false,"Lund Löpning","9.25","1,087","01:55:15","118","161","3.2","126","241","12:27","2:41","125","125","0.78","11.6","8.8","408","49.4% vänster/50.6% höger","0.0","20","Nej","00:07:17.1","10","--","--","01:24:40","01:55:15","51","74"
Cykling,2025-07-22 07:34:49,false,"Staffanstorp Cykling","8.21","267","00:26:08","112","120","1.9","--","--","18.8","33.5","57","10","--","--","--","--","--","0.0","--","Nej","00:11:35","2","--","--","00:26:00","00:26:08","14","71"
Cykling,2025-07-21 16:31:51,false,"Lund Cykling","4.96","146","00:12:50","115","130","1.9","--","--","23.2","30.4","8","17","--","--","--","--","--","0.0","--","Nej","00:12:50","1","--","--","00:12:41","00:12:50","14","30"
Cykling,2025-07-21 07:07:17,false,"Staffanstorp Cykling","8.05","309","00:27:29","118","132","2.2","--","--","17.6","31.4","55","8","--","--","--","--","--","0.0","--","Nej","00:12:43","2","--","--","00:27:02","00:27:29","14","70"
Löpning,2025-07-20 19:12:43,false,"6 x 400 m -1 min gångvila","4.47","375","00:25:12","144","161","3.5","155","184","5:38","3:50","10","11","1.09","7.8","8.5","244","48.0% vänster/52.0% höger","0.0","3,786","Nej","00:01:00","14","--","--","00:25:05","00:25:12","14","26"
Löpning,2025-07-20 18:59:38,false,"Uppvärmning ","1.78","138","00:11:32","123","141","2.2","153","219","6:30","3:44","--","3","1.04","8.4","8.7","283","48.3% vänster/51.7% höger","0.0","1,634","Nej","00:00:13.1","4","--","--","00:10:18","00:11:32","15","21"
Löpning,2025-07-19 07:27:32,false,"Staffanstorp Löpning","14.47","1,151","01:39:13","127","144","3.3","153","167","6:51","5:26","31","32","0.96","8.6","8.4","269","47.1% vänster/52.9% höger","0.0","14,704","Nej","00:03:09.4","15","--","--","01:37:30","01:39:13","4","27"
Löpning,2025-07-16 19:11:31,false,"Landskrona Löpning","1.83","141","00:09:25.5","143","152","2.6","166","170","5:10","4:41","6","12","1.14","8.6","10.0","257","48.3% vänster/51.7% höger","0.0","1,548","Nej","00:04:15.1","2","--","--","00:09:25.4","00:09:25.5","9","23"
Löpning,2025-07-16 19:00:23,false,"Landskrona Löpning","0.39","20","00:01:27.3","142","159","1.3","188","192","3:45","3:22","--","--","1.47","5.7","8.6","197","48.3% vänster/51.8% höger","0.0","266","Nej","00:01:27.3","1","--","--","00:01:25","00:01:27.3","7","31"
Löpning,2025-07-16 18:45:27,false,"Bip test ","1.37","126","00:08:01.1","147","165","2.6","168","187","5:52","4:25","0","--","0.94","10.5","9.9","262","48.3% vänster/51.7% höger","0.0","1,292","Nej","00:01:57.8","2","--","--","00:07:56.8","00:08:01.1","15","16"
Löpning,2025-07-16 18:29:20,false,"Landskrona Löpning","1.89","141","00:10:13","131","143","2.3","165","171","5:25","5:03","12","6","1.10","8.8","9.7","272","48.4% vänster/51.6% höger","0.0","1,666","Nej","00:04:39.0","2","--","--","00:10:07","00:10:13","9","24"
Löpning,2025-07-12 16:23:00,false,"Staffanstorp Löpning","14.55","1,173","01:26:59","134","149","3.6","158","167","5:59","5:05","30","34","1.06","8.8","9.6","267","47.1% vänster/52.9% höger","0.0","13,566","Nej","00:03:19.8","15","--","--","01:26:26","01:26:59","4","27"
Löpning,2025-07-09 16:40:27,false,"Lessebo - norska 5x 4 min","9.03","722","01:00:04","128","164","3.2","150","180","6:39","4:08","97","94","0.98","--","--","--","--","0.0","8,640","Nej","00:02:25.6","15","--","--","00:58:13","01:03:08","218","247"
Längdskidåkning klassisk stil,2025-07-07 17:18:25,false,"Staffanstorp Längdskidåkning klassisk stil","31.72","1,324","02:29:25","119","143","2.7","72","255","12.7","24.7","89","89","0.83","12.0","10.3","492","36.5% vänster/63.5% höger","0.0","1,428","Nej","00:09:04.0","7","--","--","02:14:56","02:49:28","8","35"
Konditionspass,2025-07-06 20:07:30,false,"Kondition","0.00","613","01:23:20","106","149","1.6","114","226","--","--","--","--","0.00","--","--","--","--","0.0","4,518","Nej","01:23:20","1","--","--","00:00:00","01:23:20","--","--"
Löpning,2025-07-05 13:18:11,false,"Lund Löpning","15.01","1,263","01:49:42","128","153","3.0","151","219","7:18","5:18","205","201","0.90","9.0","8.1","302","48.2% vänster/51.8% höger","0.0","16,118","Nej","00:00:04.9","16","--","--","01:46:04","01:49:42","49","126"
Konditionspass,2025-07-03 16:06:12,false,"Kondition","0.00","512","01:12:17","103","135","1.4","123","232","--","--","--","--","0.00","--","--","--","--","0.0","4,778","Nej","01:12:17","1","--","--","00:00:00","01:12:17","--","--"
Löpning,2025-07-02 18:30:43,false,"Kallithea Löpning","3.41","310","00:21:16","136","147","2.9","160","176","6:14","4:40","15","16","1.00","9.5","9.5","250","52.0% vänster/48.0% höger","0.0","3,350","Nej","00:02:38.3","4","--","--","00:21:15","00:23:33","2","12"
Konditionspass,2025-07-02 08:15:37,false,"Morgon stretch ","0.00","220","00:53:42","75","122","1.3","117","159","--","--","--","--","0.00","--","--","--","--","0.0","354","Nej","00:53:42","1","--","--","00:00:00","00:53:42","--","--"
Konditionspass,2025-06-27 17:06:09,false,"Kondition","0.00","539","01:10:55","104","170","1.9","119","208","--","--","--","--","0.00","--","--","--","--","0.0","762","Nej","01:10:55","1","--","--","00:00:00","01:10:55","--","--"
Längdskidåkning klassisk stil,2025-06-23 18:02:35,false,"Lund Längdskidåkning klassisk stil","24.81","989","02:06:32","109","133","1.8","71","248","11.8","27.2","91","98","0.00","0.0","9.2","396","45.7% vänster/54.3% höger","0.0","44","Nej","00:21:36","5","--","--","01:57:13","02:06:32","--","86"
Konditionspass,2025-06-23 15:20:04,false,"Kondition","0.00","449","00:46:59","113","161","2.0","117","245","--","--","--","--","0.00","--","--","--","--","0.0","2,568","Nej","00:46:59","1","--","--","00:00:00","00:46:59","--","--"
Cykling,2025-06-23 10:10:52,false,"Staffanstorp Cykling","7.86","213","00:25:53","100","111","1.3","--","--","18.2","34.6","57","9","--","--","--","--","--","0.0","--","Nej","00:11:49","2","--","--","00:24:57","00:25:53","14","67"
Konditionspass,2025-06-22 12:05:04,false,"Kondition","0.00","445","00:59:52","100","133","1.4","119","226","--","--","--","--","0.00","--","--","--","--","0.0","3,706","Nej","00:59:52","1","--","--","00:00:00","00:59:52","--","--"
Löpning,2025-06-21 09:46:51,false,"Staffanstorp - Lunchpass 200802","6.73","527","00:37:25","135","156","3.0","164","176","5:34","4:30","19","17","1.09","8.2","9.0","250","47.2% vänster/52.8% höger","0.0","3,090","Nej","00:01:01.5","10","--","--","00:37:13","00:42:47","17","40"
Längdskidåkning klassisk stil,2025-06-20 15:57:33,false,"Staffanstorp Längdskidåkning klassisk stil","17.80","958","01:27:08","115","136","1.0","70","248","12.3","20.5","46","45","0.00","0.0","13.7","578","46.8% vänster/53.2% höger","0.0","3,376","Nej","00:12:49","4","--","--","01:24:41","01:27:08","11","33"
Cykling,2025-06-18 21:26:58,false,"Burlöv Cykling","2.37","81","00:06:25.2","120","138","1.5","--","--","22.2","30.7","3","4","--","--","--","--","--","0.0","--","Nej","00:06:25.2","1","--","--","00:06:25","00:06:25.2","17","26"
Konditionspass,2025-06-18 20:05:41,false,"Kondition","0.00","342","01:06:29","85","119","1.1","117","235","--","--","--","--","0.00","--","--","--","--","0.0","4,012","Nej","01:06:29","1","--","--","00:00:00","01:06:29","--","--"
Cykling,2025-06-18 17:43:48,false,"Lund Cykling","5.98","212","00:24:35","104","118","1.3","--","--","14.6","31.7","64","75","--","--","--","--","--","0.0","--","Nej","00:08:41.2","2","--","--","00:19:46","00:24:35","-13","38"
Cykling,2025-06-18 07:33:49,false,"Staffanstorp Cykling","7.99","249","00:25:57","108","117","1.5","--","--","18.5","32.3","62","15","--","--","--","--","--","0.0","--","Nej","00:11:17","2","--","--","00:25:44","00:25:57","14","70"
Cykling,2025-06-17 21:30:30,false,"Burlöv Cykling","3.30","97","00:10:04","105","113","1.2","--","--","19.7","29.6","13","3","--","--","--","--","--","0.0","--","Nej","00:10:04","1","--","--","00:10:00","00:10:04","10","25"
Konditionspass,2025-06-17 20:13:09,false,"Kondition","0.00","370","01:13:47","85","129","1.2","116","240","--","--","--","--","0.00","--","--","--","--","0.0","3,864","Nej","01:13:47","1","--","--","00:00:00","01:13:47","4","4"
Cykling,2025-06-17 19:45:25,false,"Staffanstorp Cykling","3.56","114","00:10:51","110","118","1.3","--","--","19.7","27.2","3","12","--","--","--","--","--","0.0","--","Nej","00:10:51","1","--","--","00:10:44","00:10:51","8","25"
Cykling,2025-06-17 17:03:35,false,"Lund Cykling","8.05","237","00:24:28","109","122","1.5","--","--","19.7","37.3","7","57","--","--","--","--","--","0.0","--","Nej","00:09:42.9","2","--","--","00:23:47","00:24:28","14","68"
Cykling,2025-06-17 07:27:17,false,"Staffanstorp Cykling","8.01","249","00:23:37","113","125","1.6","--","--","20.4","36.8","54","7","--","--","--","--","--","0.0","--","Nej","00:10:40","2","--","--","00:23:14","00:23:37","14","70"
Cykling,2025-06-16 20:47:26,false,"Lund Cykling","8.04","238","00:21:37","115","125","1.8","--","--","22.3","34.4","14","62","--","--","--","--","--","0.0","--","Nej","00:08:25.6","2","--","--","00:21:34","00:21:37","14","68"
Löpning,2025-06-15 10:44:27,false,"Broloppet ","21.13","1,852","01:51:58","154","163","5.0","168","178","5:18","4:33","31","30","1.09","8.9","9.9","255","47.7% vänster/52.3% höger","0.0","18,650","Nej","00:00:36.7","22","--","--","01:51:54","01:51:58","-1","18"
Konditionspass,2025-06-13 06:59:27,false,"Kondition","0.00","382","00:59:25","96","140","1.3","125","245","--","--","--","--","0.00","--","--","--","--","0.0","2,814","Nej","00:59:25","1","--","--","00:00:00","00:59:25","--","--"
Konditionspass,2025-06-12 16:57:40,false,"Kondition","0.00","262","00:42:23","93","132","1.2","121","245","--","--","--","--","0.00","--","--","--","--","0.0","1,772","Nej","00:42:23","1","--","--","00:00:00","00:42:23","--","--"
Cykling,2025-06-12 14:01:24,false,"Lund Cykling","3.62","148","00:11:16","123","136","2.0","--","--","19.3","28.9","35","11","--","--","--","--","--","0.0","--","Nej","00:11:16","1","--","--","00:11:14","00:11:16","39","76"
Cykling,2025-06-11 17:49:42,false,"Lund Cykling","6.42","195","00:19:16","109","126","1.5","--","--","20.0","30.1","7","24","--","--","--","--","--","0.0","--","Nej","00:04:02.5","2","--","--","00:19:07","00:19:16","14","38"
Cykling,2025-06-11 07:44:26,false,"Staffanstorp Cykling","8.09","335","00:27:57","120","143","2.1","--","--","17.4","31.1","52","5","--","--","--","--","--","0.0","--","Nej","00:12:30","2","--","--","00:26:20","00:27:57","14","70"
Löpning,2025-06-10 17:33:25,false,"Lund Löpning","7.71","873","01:40:12","112","156","2.3","130","234","12:59","2:37","126","94","0.79","11.2","8.3","392","49.4% vänster/50.6% höger","0.0","6,004","Nej","00:08:08.2","8","--","--","01:09:19","01:40:32","35","74"
Löpning,2025-06-09 17:25:06,false,"Staffanstorp Löpning","4.57","448","00:28:30","140","161","3.1","157","165","6:14","5:22","15","15","1.02","--","--","--","--","0.0","4,446","Nej","00:03:28.0","5","--","--","00:28:22","00:48:27","8","26"
Cykling,2025-06-09 16:28:14,false,"Lund Cykling","8.08","290","00:22:22","121","141","2.1","--","--","21.7","35.6","9","56","--","--","--","--","--","0.0","--","Nej","00:08:42.2","2","--","--","00:21:26","00:22:22","14","67"
Cykling,2025-06-09 07:20:56,false,"Staffanstorp Cykling","8.06","271","00:25:42","110","119","1.6","--","--","18.8","32.4","59","13","--","--","--","--","--","0.0","--","Nej","00:11:32","2","--","--","00:25:23","00:25:42","14","71"
Cykling,2025-06-08 16:12:21,false,"Burlöv Cykling","3.61","140","00:10:11","123","132","1.8","--","--","21.3","30.6","17","8","--","--","--","--","--","0.0","--","Nej","00:10:11","1","--","--","00:10:10","00:10:11","8","26"
Konditionspass,2025-06-08 14:59:51,false,"Kondition","0.00","543","01:11:17","103","142","2.0","121","245","--","--","--","--","0.00","--","--","--","--","0.0","4,172","Nej","01:11:17","1","--","--","00:00:00","01:11:17","18","18"
Cykling,2025-06-08 14:41:51,false,"Staffanstorp Cykling","3.55","107","00:09:10.1","112","123","1.4","--","--","23.2","31.3","4","13","--","--","--","--","--","0.0","--","Nej","00:09:10.1","1","--","--","00:09:10.1","00:09:10.1","8","25"
Konditionspass,2025-06-07 14:04:23,false,"Kondition","0.00","616","00:57:01","120","154","2.2","115","232","--","--","--","--","0.00","--","--","--","--","0.0","3,152","Nej","00:57:01","1","--","--","00:00:00","00:57:02","--","--"
Löpning,2025-06-07 10:00:08,false,"Staffanstorp Löpning","19.01","1,475","01:54:37","132","149","3.5","163","181","6:02","4:56","45","43","1.04","8.3","8.8","263","47.1% vänster/52.9% höger","0.0","17,970","Nej","00:00:05.1","20","--","--","01:50:57","01:54:37","4","28"
Löpning,2025-06-05 06:42:59,false,"Staffanstorp Löpning","8.19","643","00:47:05","128","139","2.8","165","174","5:45","5:14","27","27","1.05","8.9","9.5","271","47.5% vänster/52.5% höger","0.0","4,454","Nej","00:01:06.3","9","--","--","00:47:02","00:50:57","16","40"
Konditionspass,2025-06-04 18:31:56,false,"Kondition","0.00","422","00:55:14","100","157","1.9","124","249","--","--","--","--","0.00","--","--","--","--","0.0","3,320","Nej","00:55:14","1","--","--","00:00:00","00:55:21","--","--"
Löpning,2025-06-03 17:26:31,false,"Lund Löpning","9.58","1,130","01:44:50","121","162","3.0","132","240","10:57","2:18","125","125","0.82","11.6","8.8","385","48.5% vänster/51.5% höger","0.0","11,330","Nej","00:00:50.6","11","--","--","01:23:36","01:45:09","54","74"
Cykling,2025-06-02 19:16:07,false,"Lund Cykling","6.17","196","00:17:46","110","118","1.5","--","--","20.8","30.4","13","34","--","--","--","--","--","0.0","--","Nej","00:03:20.8","2","--","--","00:17:46","00:18:08","14","43"
Löpning,2025-06-02 19:13:17,false,"Lund Löpning","7.20","629","00:47:39","129","158","3.0","164","182","6:37","3:53","46","41","0.91","--","--","--","--","0.0","5,990","Nej","00:00:00.2","15","--","--","00:43:34","00:47:41","42","49"
Cykling,2025-06-02 18:02:29,false,"Staffanstorp Cykling","6.30","267","00:19:59","122","132","2.1","--","--","18.9","33.5","28","6","--","--","--","--","--","0.0","--","Nej","00:05:54.1","2","--","--","00:18:49","00:19:59","14","43"
Cykling,2025-06-02 16:39:15,false,"Lund Cykling","8.06","330","00:23:03","127","142","2.5","--","--","21.0","37.9","9","57","--","--","--","--","--","0.0","--","Nej","00:08:20.1","2","--","--","00:21:57","00:23:03","14","67"
Cykling,2025-06-02 07:11:39,false,"Staffanstorp Cykling","8.09","290","00:25:05","115","125","1.8","--","--","19.4","33.0","60","13","--","--","--","--","--","0.0","--","Nej","00:11:01","2","--","--","00:24:24","00:25:05","6","71"
Löpning,2025-05-31 13:42:24,false,"Staffanstorp Löpning","17.60","1,435","01:41:41","134","146","3.4","164","221","5:47","5:04","40","40","1.05","8.2","8.8","248","46.9% vänster/53.1% höger","0.0","16,344","Nej","00:03:18.1","18","--","--","01:40:17","01:41:41","4","27"
Löpning,2025-05-29 19:23:05,false,"Staffanstorp Löpning","7.89","642","00:42:55","135","145","3.3","166","171","5:26","4:59","17","16","1.10","7.8","8.8","262","47.5% vänster/52.5% höger","0.0","7,102","Nej","00:04:56.7","8","--","--","00:42:41","00:42:55","6","37"
Löpning,2025-05-28 17:05:43,false,"Staffanstorp - 3x2 km","11.45","879","01:01:58","140","158","3.7","164","183","5:25","4:15","23","21","1.11","7.9","8.9","249","47.0% vänster/53.0% höger","0.0","10,026","Nej","00:03:00","14","--","--","01:01:56","01:01:58","11","28"
Cykling,2025-05-28 07:06:03,false,"Staffanstorp Cykling","8.10","335","00:26:46","121","153","2.2","--","--","18.1","32.5","52","5","--","--","--","--","--","0.0","--","Nej","00:11:02","2","--","--","00:26:07","00:26:46","14","69"
Cykling,2025-05-27 18:17:57,false,"Tomelilla Cykling","7.69","519","01:45:43","86","135","1.2","--","--","4.4","20.7","116","124","--","--","--","--","--","0.0","--","Nej","00:27:38","2","--","--","00:55:11","01:45:43","52","109"
Löpning,2025-05-26 17:40:38,false,"Staffanstorp Löpning","11.71","1,130","01:04:50","152","172","5.0","164","171","5:32","4:54","28","28","1.10","--","--","--","--","0.0","10,566","Nej","00:03:44.7","12","--","--","01:04:37","01:04:50","14","33"
Cykling,2025-05-26 07:17:54,false,"Staffanstorp Cykling","8.04","270","00:24:26","113","124","1.7","--","--","19.7","34.0","53","6","--","--","--","--","--","0.0","--","Nej","00:10:48","2","--","--","00:23:56","00:24:26","14","71"
Konditionspass,2025-05-25 18:00:37,false,"Kondition","2.41","185","00:54:24","118","158","1.0","114","233","2.7","12.9","--","--","0.88","14.8","12.3","390","49.3% vänster/50.7% höger","0.0","2,802","Nej","00:54:24","1","--","--","00:23:47","00:54:24","--","--"
Cykling,2025-05-25 16:08:53,false,"Burlöv Cykling","3.57","131","00:10:09","121","143","1.7","--","--","21.1","33.0","16","5","--","--","--","--","--","0.0","--","Nej","00:10:09","1","--","--","00:10:08","00:10:09","8","25"
Konditionspass,2025-05-25 15:01:25,false,"Kondition","0.00","501","00:59:50","106","147","1.6","120","235","--","--","--","--","0.00","--","--","--","--","0.0","2,928","Nej","00:59:50","1","--","--","00:00:00","00:59:50","--","--"
Cykling,2025-05-25 14:47:00,false,"Staffanstorp Cykling","3.59","139","00:10:38","120","127","1.7","--","--","20.3","33.8","4","12","--","--","--","--","--","0.0","--","Nej","00:10:38","1","--","--","00:10:29","00:10:38","9","25"
Löpning,2025-05-24 12:07:41,false,"Staffanstorp Löpning","17.15","1,270","01:45:13","128","148","2.9","161","169","6:08","5:08","43","41","1.01","8.7","9.0","257","47.9% vänster/52.1% höger","0.0","4","Nej","00:00:55.7","18","--","--","01:45:09","01:45:13","4","27"
Löpning,2025-05-23 17:46:50,false,"Staffanstorp - RW 2x2 +5,3,2x3","9.27","636","00:58:53","126","158","2.6","148","186","6:21","3:29","22","20","1.00","7.4","7.6","279","47.7% vänster/52.3% höger","0.0","8,536","Nej","00:00:47.8","26","--","--","00:58:27","00:59:28","9","27"
Längdskidåkning klassisk stil,2025-05-21 18:01:19,false,"Lund Längdskidåkning klassisk stil","20.10","694","01:48:08","112","144","1.0","85","255","11.2","26.3","183","186","0.00","0.0","8.5","473","42.4% vänster/57.6% höger","0.0","34","Nej","00:00:41.6","5","--","--","01:37:08","01:48:08","21","73"
Löpning,2025-05-20 17:17:21,false,"Lund Löpning","8.54","893","01:50:30","108","156","2.2","122","255","12:56","4:41","167","166","0.81","11.9","9.1","422","49.4% vänster/50.6% höger","0.0","10,000","Nej","00:07:06.0","9","--","--","01:18:54","01:50:30","51","74"
Längdskidåkning klassisk stil,2025-05-19 18:03:04,false,"Lund Längdskidåkning klassisk stil","24.66","983","01:51:15","115","141","2.3","70","240","13.3","27.8","112","107","0.73","35.4","9.9","437","41.3% vänster/58.7% höger","0.0","4,254","Nej","00:19:57","5","--","--","01:42:51","01:51:15","32","86"
Cykling,2025-05-19 16:33:13,false,"Lund Cykling","8.02","222","00:22:07","110","122","1.6","--","--","21.8","36.2","8","57","--","--","--","--","--","0.0","--","Nej","00:08:13.6","2","--","--","00:21:18","00:22:07","14","66"
